altura,6tado,idade,peso,sexo,renda,tempo_carteira_assinada,estado_civil,score
1.67,13,63,104,1,2687,42,2,905
1.7,23,71,107,1,1834,55,0,783
1.63,2,31,57,0,1242,30,0,442
1.83,6,69,79,0,2182,32,1,747
1.77,18,80,92,1,904,58,2,119
1.84,19,39,90,1,5495,4,1,675
1.56,2,52,76,0,938,44,2,83
1.81,4,36,88,0,2360,25,2,728
1.95,20,25,87,1,1260,39,2,643
1.76,11,24,51,0,1867,13,2,136
1.65,19,76,50,0,1623,43,1,493
1.91,26,46,78,1,1663,39,1,252
1.53,1,52,82,0,1909,9,0,582
1.88,1,60,109,1,903,3,1,340
1.82,17,46,68,0,1316,33,0,712
1.81,25,38,59,0,3405,52,2,541
1.84,13,62,110,1,1177,25,2,342
1.61,12,34,107,1,1427,51,2,686
1.68,22,67,72,1,1550,52,2,641
1.73,11,34,60,0,2523,18,1,320
1.79,9,79,87,1,1592,55,0,523
1.58,16,32,65,0,1354,51,1,625
1.68,25,45,67,0,1498,32,1,512
1.72,8,42,95,1,1579,14,2,432
1.93,4,79,81,1,1467,48,0,358
1.62,23,33,58,0,1160,6,3,407
1.88,16,63,79,1,1370,19,2,474
1.74,20,36,79,1,1452,19,2,25
1.83,23,22,59,1,1468,36,0,289
1.85,11,27,88,1,1301,27,2,101
1.69,10,80,109,1,2137,31,3,455
1.63,14,52,52,1,1853,5,2,843
1.58,12,57,79,0,3325,37,0,437
1.63,5,58,76,0,3506,51,0,635
1.86,16,38,87,1,2294,49,2,277
1.9,8,55,55,1,2946,30,1,766
1.72,16,37,74,0,2245,28,0,690
1.55,6,24,71,0,1090,46,0,577
1.54,19,62,65,0,1410,45,1,448
1.77,16,28,97,1,2631,58,2,670
1.86,15,74,109,1,2495,7,2,934
1.71,10,67,77,0,1916,55,1,404
1.52,9,76,49,0,2329,5,2,463
1.53,10,77,51,0,1203,45,1,202
1.77,13,73,97,1,1545,7,0,100
1.76,23,60,94,1,1424,4,0,440
1.67,1,26,102,1,1836,37,0,469
1.99,15,23,73,1,1253,47,1,450
1.97,22,34,66,1,1933,52,0,413
1.67,16,44,56,0,1884,6,3,226
1.79,2,78,90,1,1438,30,1,305
1.9,22,72,103,1,1205,27,1,611
1.67,11,30,105,1,1103,20,0,714
1.77,24,46,108,1,1765,1,1,598
1.62,12,37,65,0,1441,10,3,937
1.58,12,18,88,0,1418,11,0,342
1.85,24,63,65,0,3577,27,1,592
1.78,21,19,45,0,1539,5,2,634
1.96,21,44,109,1,1463,13,0,625
1.57,12,78,50,0,1646,47,2,405
1.62,9,29,76,0,2059,15,3,650
1.86,3,55,82,1,1395,19,0,551
1.81,1,47,70,0,1613,52,2,579
1.51,18,48,82,0,2135,20,0,333
1.99,4,23,64,1,1754,53,0,790
1.8,18,35,97,1,1538,53,1,251
1.93,0,76,76,1,1240,31,3,318
1.7,11,74,89,0,5725,50,2,623
1.8,11,58,92,1,1666,17,1,991
1.79,6,46,69,0,2450,9,1,509
1.56,0,36,87,0,1507,29,0,603
1.87,18,67,79,1,3066,24,1,441
1.76,0,51,83,1,2947,52,0,364
1.81,0,77,76,0,1531,49,1,932
1.94,23,51,92,1,1773,48,2,914
1.76,1,53,101,1,1551,48,3,991
1.84,6,72,67,1,1613,11,0,530
1.65,22,46,48,0,1318,38,1,414
1.66,10,19,49,0,1100,51,2,458
1.79,5,68,93,1,1608,4,0,486
1.77,24,46,67,0,1364,54,0,185
1.63,20,55,48,0,1470,18,2,599
1.65,2,25,96,1,2117,7,3,408
1.58,21,67,69,0,1268,13,2,326
1.65,10,29,98,1,2786,17,2,681
1.64,2,47,80,0,2207,33,3,724
1.55,26,21,46,0,2222,5,1,717
1.63,12,47,93,1,1028,26,1,725
1.69,0,28,51,1,5984,4,3,577
1.82,17,66,53,0,3435,8,3,413
1.89,16,77,90,1,2610,7,0,515
1.69,9,67,80,1,2091,11,0,519
1.9,9,19,78,1,3768,15,2,495
1.58,4,33,84,0,1605,46,0,528
1.64,8,62,72,0,4278,20,1,844
1.71,6,62,74,0,1108,47,0,192
1.85,11,52,104,1,2415,13,0,270
1.93,23,44,100,1,1130,49,2,168
1.97,11,66,86,1,2228,25,0,215
1.8,5,20,78,1,1440,12,3,261
1.76,0,52,74,0,1454,18,0,438
1.77,0,30,56,0,2388,19,0,520
1.5,7,36,74,0,1078,3,2,242
1.61,5,59,95,1,1265,50,2,241
1.72,3,78,45,0,1351,1,3,568
1.71,17,29,67,0,1672,39,2,618
1.68,12,75,47,0,1182,4,2,227
